Target Count Total:
+-----------+-----------+------------+
| combo.pkl | gofai.pkl | greedy.pkl |
+-----------+-----------+------------+
|    143838 |    190941 |     231127 |
+-----------+-----------+------------+


Target Count By Length Of Block Resolution:
+--------+-----------+-----------+------------+
| Length | combo.pkl | gofai.pkl | greedy.pkl |
|     10 |       0 |  6550 |   1390 |
|     11 |       0 |  6050 |   1390 |
|     12 |       0 |     0 |    760 |
+--------+---------+-------+--------+


Compare combo.pkl v. gofai.pkl:
+--------+---------+-------+--------+
| Length | Better# | Same# | Worse# |
+--------+---------+-------+--------+
|      1 |       0 |    81 |      0 |
|      2 |     247 |  1549 |      0 |
|      3 |     417 | 14367 |      0 |
|      4 |     297 | 38003 |      0 |
|      5 |     177 | 28123 |      0 |
|      6 |      75 | 18244 |      0 |
|      7 |    1001 |  8439 |      0 |
|      8 |    8383 |   557 |      0 |
|      9 |    7558 |   882 |      0 |
|     10 |    7940 |     0 |      0 |
|     11 |    7440 |     0 |      0 |
+--------+---------+-------+--------+


Compare combo.pkl v. greedy.pkl:
+--------+---------+-------+--------+
| Length | Better# | Same# | Worse# |
+--------+---------+-------+--------+
|      1 |       0 |    81 |      0 |
|      2 |     116 |  1738 |      0 |
|      3 |    1600 | 13184 |      0 |
|      4 |    5421 | 32879 |      0 |
|      5 |    4031 | 24269 |      0 |
|      6 |    2641 | 15678 |      0 |
|      7 |    1390 |  8050 |      0 |
|      8 |    1390 |  7550 |      0 |
|      9 |    1390 |  7050 |      0 |
|     10 |    1390 |  6550 |      0 |
|     11 |    1390 |  6050 |      0 |
+--------+---------+-------+--------+


